Iteration,Alpha
215,"0.20771722592363867,0.18943762472995002,0.16502017613374548,0.15325734320392553,0.14287268047909793,0.14169494952964237"
216,"0.20782607000905137,0.18951789429523833,0.16496699146231408,0.15338055941694173,0.1428347213946232,0.1414737634218314"
217,"0.2085864606251144,0.18986127999085015,0.16479628403447036,0.15314101959868304,0.14252106589416405,0.14109388985671806"
218,"0.20898505148928898,0.18985825753280716,0.16475791364925926,0.15302836469199582,0.14238440072988987,0.14098601190675897"
219,"0.20946903314665394,0.19037837119441278,0.16465814137523568,0.1528087637835093,0.14205383460876747,0.14063185589142094"
220,"0.2088592061339889,0.19038390944016775,0.1648383359879452,0.15295443328829933,0.1422148470652018,0.14074926808439703"
221,"0.2087295230985317,0.19061900224498132,0.16484982922508135,0.1530750871751004,0.14223898971549068,0.14048756854081465"
222,"0.20925299510340586,0.1911161657806348,0.1647364302993075,0.1528079480907332,0.14192193552694693,0.14016452519897174"
223,"0.20975369212607176,0.1914287887434616,0.16451824060675424,0.15260048409677354,0.14169351588125176,0.1400052785456872"
224,"0.20957533778712248,0.1913133291074132,0.1644308319371095,0.15272233644174205,0.14174032740769277,0.14021783731892015"
225,"0.20965521503749365,0.19149195002917388,0.1643393762986345,0.15268325647282016,0.14172608742299808,0.14010411473887985"
226,"0.2102628487629641,0.19212432805016771,0.16424910609761242,0.15236381964804888,0.14132329145579597,0.13967660598541087"
227,"0.21045469744656436,0.1919397558195359,0.16395024136823064,0.15226913493949784,0.14163078672830132,0.13975538369787"
228,"0.2111358645608914,0.19277804068194712,0.16370026118222208,0.15186836198610662,0.1412016631036428,0.13931580848518987"
229,"0.21125870246321737,0.19282191349060868,0.16361170929525787,0.15192078600640013,0.14122593025457625,0.13916095848993976"
230,"0.21176033350861012,0.19250175727518656,0.1638918008108517,0.15177354438714247,0.14105653951545727,0.13901602450275186"
231,"0.2123083196389202,0.19295190114678626,0.16373755964850753,0.15150780842993755,0.14077012986756385,0.13872428126828462"
232,"0.21221287774099162,0.19294980997033212,0.16379864479371167,0.15152588431942765,0.14079538092289615,0.13871740225264081"
233,"0.21200146964749436,0.1931473409400259,0.16375622633249395,0.1516098967215969,0.14073817135032496,0.13874689500806398"
234,"0.21206317523994578,0.19310452332482544,0.16367416241599206,0.1516745912014511,0.1407342194926984,0.13874932832508738"
235,"0.21203887314581624,0.1931990229676886,0.16347534367756178,0.1517100288913268,0.14076576373266603,0.13881096758494063"
236,"0.21201562470209406,0.1934971157976159,0.1635160432076537,0.15174219256116117,0.14063659698739317,0.1385924267440821"
237,"0.21293366627828098,0.19366143094524024,0.16333628850433207,0.15141701674147082,0.14032840457616588,0.13832319295450995"
238,"0.21383549895430792,0.193790041147376,0.16314886940027984,0.15116262027636518,0.14009615389371255,0.1379668163279586"
239,"0.21371251696596422,0.19329100017310197,0.16306500648283836,0.15141025731896382,0.14035520033965762,0.13816601871947407"
